timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721221767708,84,1_launch_website-102 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1299,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221768691,65,1_launch_website-51 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,600,1459,5,5,https://www.webstaurantstore.com/api/pagecreatorbanner,64,0,0
1721221770508,54,1_launch_website-98 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,478,822,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221771481,749,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,107710,1576,5,5,https://www.webstaurantstore.com/outlet.html,683,0,112
1721221772323,149,1_launch_website-105 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1349,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221773196,109,1_launch_website-118 /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1587,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,109,0,0
1721221718814,1798,A_launch_website (Outlet),200,"Number of samples in transaction : 11, number of failing samples : 0",bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,130382,14564,5,5,null,990,52692,74
1721221773306,206,1_launch_website-84 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,3296,1494,5,5,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=&ltid=&dlid=&link=,206,0,0
1721221774140,131,2_selectproduct category-641 - /api/shoppingcart/items,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,1581,1460,5,5,https://www.webstaurantstore.com/api/shoppingcart/items,131,0,0
1721221775122,56,1_launch_website-99  -/pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,478,823,5,5,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221776092,63,1_launch_website-39 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,14697,1515,5,5,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,62,0,0
1721221776938,227,1_launch_website-103 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221777921,112,1_launch_website-100 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,478,812,5,5,https://stash.webstaurantstore.com/PageView,0,0,46
1721221778754,272,2_selectproduct category-644 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1955,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221779739,60,1_launch_website-102 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,367,1299,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
1721221780707,84,1_launch_website-51 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,600,1459,5,5,https://www.webstaurantstore.com/api/pagecreatorbanner,84,0,0
1721221782535,54,1_launch_website-98 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-4,,true,,478,822,5,5,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221783369,61,2_selectproduct category-647 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1359,5,5,https://stash.webstaurantstore.com/PageView,0,0,0
